Model,Current Price (IDR),2022 Price (IDR),2024 Price (IDR),Margin vs 2022 (%),Margin vs 2024 (%)
rtx 2060,3103625,7184000.0,,-56.8,
rtx 2060 super,4428000,7184000.0,,-38.36,
rtx 2070,8292500,10688000.0,,-22.41,
rtx 2080,5500000,52799840.0,,-89.58,
rtx 2080 ti,18779600,28768000.0,,-34.72,
rtx 3050 6g,2979909,,,,
rtx 3050 8g,4043375,,,,
rtx 3060,4771111,6639840.0,6256000.0,-28.14,-23.74
rtx 3060 ti,4620000,,6256000.0,,-26.15
rtx 3070,4737778,11167200.0,7984000.0,-57.57,-40.66
rtx 3070 ti,6613429,11167200.0,7984000.0,-40.78,-17.17
rtx 3080,11376875,15359840.0,14720000.0,-25.93,-22.71
rtx 3080 ti,21950000,15359840.0,14720000.0,42.91,49.12
rtx 3090,28339500,20639840.0,23440000.0,37.3,20.9
rtx 4060,6544571,,5984000.0,,9.37
rtx 4060 ti,7664250,,5984000.0,,28.08
rtx 4070,14393200,,11184000.0,,28.69
rtx 4070 super,13768400,,11184000.0,,23.11
rtx 4070 ti,15962333,,11184000.0,,42.72
rtx 4070 ti super,16099000,,11184000.0,,43.95
rtx 4080,19665667,,16464000.0,,19.45
rtx 4080 super,17648350,,16464000.0,,7.19
rtx 4090,39915000,,27184000.0,,46.83
rtx 5050,4745714,,,,
rtx 5060,6942837,,,,
rtx 5060 ti,8259300,,,,
rtx 5070,13564741,,,,
rtx 5070 ti,16611750,,,,
rtx 5080,23157913,,,,
rtx 5090,53012909,,,,
